Date,Open,High,Low,Close,Volume
29/04/2002 16:00:00,16.96,17,15.9,16.18,8417900
30/04/2002 16:00:00,16.22,16.76,15.93,16.69,6431700
01/05/2002 16:00:00,16.75,17.05,16.42,16.49,7701400
02/05/2002 16:00:00,16.52,16.65,16.25,16.32,4819400
03/05/2002 16:00:00,16.31,16.4,15.75,16.05,5162600
06/05/2002 16:00:00,16.04,16.49,15.75,16.12,5356600
07/05/2002 16:00:00,16.12,16.35,16.03,16.11,5549500
08/05/2002 16:00:00,16.5,17.46,16.5,17.32,7887900
09/05/2002 16:00:00,17.1,18.23,17.1,17.73,11003800
10/05/2002 16:00:00,17.84,17.96,16.8,16.94,7581100
13/05/2002 16:00:00,16.95,17.63,16.85,17.32,6700200
14/05/2002 16:00:00,18.81,19.45,18.02,18.81,14669000
15/05/2002 16:00:00,19,20.4,18.35,19.94,12905600
16/05/2002 16:00:00,19.85,19.95,19.29,19.61,7817900
17/05/2002 16:00:00,19.9,20,18.81,19.16,6464200
20/05/2002 16:00:00,19,19.48,18.77,19.39,8461800
21/05/2002 16:00:00,19.36,19.8,18.55,18.76,7765300
22/05/2002 16:00:00,18.76,19.13,18.22,18.75,5075300
23/05/2002 16:00:00,18.83,19.55,18.61,19.45,5651900
24/05/2002 16:00:00,19.54,19.69,19.06,19.5,4276100
28/05/2002 16:00:00,19.61,19.61,18.77,19.06,3953300
29/05/2002 16:00:00,19.06,19.1,18.8,18.91,3614100
30/05/2002 16:00:00,18.9,18.94,18.08,18.37,7451700
31/05/2002 16:00:00,18.45,18.89,18.2,18.23,5083800
03/06/2002 16:00:00,18.3,18.5,17.93,17.96,3717800
04/06/2002 16:00:00,17.99,18.14,17.47,17.97,6852800
05/06/2002 16:00:00,17.63,18.18,17.45,17.99,4376300
06/06/2002 16:00:00,18,18.41,17.76,18.17,5256700
07/06/2002 16:00:00,17.94,18.65,17.85,18.58,5358400
10/06/2002 16:00:00,17.76,18.12,17.02,17.3,11094100
11/06/2002 16:00:00,17.22,17.79,17.13,17.14,5520800
12/06/2002 16:00:00,17.15,17.15,16.26,17.08,7339400
13/06/2002 16:00:00,17.1,17.5,16.74,17.43,4906800
14/06/2002 16:00:00,17.19,17.4,16.26,16.82,7973200
17/06/2002 16:00:00,16.88,18.48,16.86,18.41,9060400
18/06/2002 16:00:00,18.6,19.16,18.09,18.78,7972800
19/06/2002 16:00:00,18.66,19.1,18.27,18.3,7444100
20/06/2002 16:00:00,18.38,18.38,17.34,17.55,8697000
21/06/2002 16:00:00,17.57,17.79,17.34,17.53,5178600
24/06/2002 16:00:00,17.55,17.78,16.94,17.51,5969600
25/06/2002 16:00:00,16.95,16.95,15.04,15.34,15306500
26/06/2002 16:00:00,14.68,15.93,14.68,15.85,8278000
27/06/2002 16:00:00,15.82,16.47,15.3,15.86,6193700
28/06/2002 16:00:00,15.88,16.36,15.4,16.25,6280100
01/07/2002 16:00:00,16.17,16.17,13.52,13.55,13540600
02/07/2002 16:00:00,13.58,14.16,13,13.32,8758700
03/07/2002 16:00:00,13.25,14.46,12.89,14.25,7706200
05/07/2002 16:00:00,14.65,15.23,14.37,15.21,3367400
08/07/2002 16:00:00,15,15.85,14.68,14.94,5893400
09/07/2002 16:00:00,14.99,16.03,14.99,15.6,7534300
10/07/2002 16:00:00,15.57,15.94,14.65,14.96,6767000
11/07/2002 16:00:00,14.95,15.84,14,15.55,7340600
12/07/2002 16:00:00,15.91,16.19,15.25,15.43,7001500
15/07/2002 16:00:00,15.4,15.98,15,15.94,6029500
16/07/2002 16:00:00,15.98,17.08,15.66,16.29,10791500
17/07/2002 16:00:00,16.4,17.16,15.32,16.16,7323600
18/07/2002 16:00:00,16.05,16.59,15.53,15.55,6860200
19/07/2002 16:00:00,15.4,15.72,15.07,15.29,6107400
22/07/2002 16:00:00,15.25,15.65,15,15.5,9411900
23/07/2002 16:00:00,15.52,15.88,14.4,14.55,11422500
24/07/2002 16:00:00,13,14.16,12.26,14.1,19802200
25/07/2002 16:00:00,14.01,14.01,12.4,12.49,9376500
26/07/2002 16:00:00,12.52,13.11,12.5,12.93,5556700
29/07/2002 16:00:00,13.23,14.46,13.23,14.33,7050000
30/07/2002 16:00:00,14.31,14.9,14.08,14.77,5559600
31/07/2002 16:00:00,14.66,14.66,14.14,14.46,3823700
01/08/2002 16:00:00,14.43,14.5,13.99,14.16,6066900
02/08/2002 16:00:00,14.14,14.14,13.45,13.84,4183400
05/08/2002 16:00:00,13.79,13.79,12.78,12.87,3857400
06/08/2002 16:00:00,13.14,13.9,13.14,13.74,4762600
07/08/2002 16:00:00,13.84,13.94,12.85,13.6,5569800
08/08/2002 16:00:00,13.88,14.1,13.06,13.9,5470800
09/08/2002 16:00:00,13.81,14.75,13.6,14.26,4790600
12/08/2002 16:00:00,14.23,14.49,13.95,14.46,3504500
13/08/2002 16:00:00,14.31,14.67,13.91,13.93,5255800
14/08/2002 16:00:00,13.94,14.06,13.32,13.91,6944300
15/08/2002 16:00:00,13.92,14.75,13.92,14.62,5050600
16/08/2002 16:00:00,14.56,15.01,14.31,14.9,3654100
19/08/2002 16:00:00,14.92,15.52,14.67,15.5,4281600
20/08/2002 16:00:00,15.45,15.99,15.31,15.92,7734400
21/08/2002 16:00:00,15.97,15.97,15.2,15.38,7286900
22/08/2002 16:00:00,15.4,15.95,14.92,15.73,6855500
23/08/2002 16:00:00,15.55,15.72,14.95,15.17,5048200
26/08/2002 16:00:00,15.3,15.44,14.68,14.93,6414300
27/08/2002 16:00:00,14.9,15.27,14.5,14.52,3588900
28/08/2002 16:00:00,14.35,14.97,14.35,14.57,2768300
29/08/2002 16:00:00,14.58,15.19,14.21,15.17,6796000
30/08/2002 16:00:00,15,15.38,14.75,14.94,3445600
03/09/2002 16:00:00,14.65,15.03,14.49,14.6,4683600
04/09/2002 16:00:00,14.69,14.96,14.26,14.83,4430400
05/09/2002 16:00:00,14.72,14.72,14.24,14.25,5321200
06/09/2002 16:00:00,14.56,15.48,14.56,15.31,5008300
09/09/2002 16:00:00,15.29,16.65,15.06,16.51,8824500
10/09/2002 16:00:00,16.54,17.35,16.42,17.13,11264200
11/09/2002 16:00:00,17.11,17.85,17.04,17.11,6664000
12/09/2002 16:00:00,16.9,17.13,16.61,16.75,7066000
13/09/2002 16:00:00,16.51,16.99,16.5,16.61,3681000
16/09/2002 16:00:00,16.6,16.93,16.45,16.71,2962500
17/09/2002 16:00:00,16.9,17.75,16.77,17.35,8633400
18/09/2002 16:00:00,17.2,17.93,16.95,17.73,8420400
19/09/2002 16:00:00,17.6,17.64,17.17,17.21,4845600
20/09/2002 16:00:00,17.5,17.64,15.45,15.86,12606800
23/09/2002 16:00:00,15.79,16.44,15.59,16.05,7404500
24/09/2002 16:00:00,15.86,16.37,15.6,15.93,7072900
25/09/2002 16:00:00,16.1,16.39,15.29,15.73,9339700
26/09/2002 16:00:00,15.85,17.35,15.71,17.15,11637500
27/09/2002 16:00:00,17.36,17.4,16.82,17.01,7035700
30/09/2002 16:00:00,16.6,16.85,15.85,15.93,9266100
01/10/2002 16:00:00,16.3,17.06,16.01,16.95,9226900
02/10/2002 16:00:00,16.9,17.64,16.7,17.01,8241600
03/10/2002 16:00:00,16.86,17.25,16.66,16.75,6374400
04/10/2002 16:00:00,16.76,17.15,16.38,16.55,7649500
07/10/2002 16:00:00,16.45,16.96,16.37,16.64,5766900
08/10/2002 16:00:00,16.63,17.06,16.46,16.94,6098000
09/10/2002 16:00:00,17,17.13,16.6,16.86,6097100
10/10/2002 16:00:00,17.15,17.97,17.15,17.96,10535400
